image_file,attack_type,attack_parameter,NCC,BER
00000009.png,JPEG,Q=50,0.905267,0.15625
00000009.png,JPEG,Q=30,0.802568,0.244792
00000009.png,Gaussian,Noise σ=0.03,0.823493,0.197917
00000009.png,Rotation,10°,0.923514,0.182292
00000009.png,Tampering,,0.844844,0.223958
00000009.png,Replay,,0.636588,0.28125
00000009.png,Downgrade,(Resize),0.347384,0.401042
00000009.png,Brightness,(1.5x),0.77382,0.255208
00000009.png,Contrast,(2.0x),0.900414,0.192708
00000009.png,Salt,& Pepper Noise,0.68707,0.28125
00000009.png,Cropping,& Padding,0.696762,0.291667
00000010.png,JPEG,Q=90,0.998071,0.026042
00000010.png,JPEG,Q=70,0.983472,0.046875
00000010.png,JPEG,Q=50,0.945825,0.088542
00000010.png,JPEG,Q=30,0.812628,0.1875
00000010.png,Gaussian,Noise σ=0.03,0.790566,0.197917
00000010.png,Rotation,10°,0.967999,0.098958
00000010.png,Tampering,,0.977706,0.078125
00000010.png,Replay,,0.744785,0.25
00000010.png,Downgrade,(Resize),0.342934,0.375
00000010.png,Brightness,(1.5x),0.435745,0.375
00000010.png,Contrast,(2.0x),0.667799,0.265625
00000010.png,Salt,& Pepper Noise,0.462506,0.3125
00000010.png,Cropping,& Padding,0.588322,0.317708
00000011.png,JPEG,Q=90,0.99652,0.020833
00000011.png,JPEG,Q=70,0.956103,0.104167
00000011.png,JPEG,Q=50,0.874312,0.182292
00000011.png,JPEG,Q=30,0.767438,0.234375
00000011.png,Gaussian,Noise σ=0.03,0.764719,0.239583
00000011.png,Rotation,10°,0.946921,0.135417
00000011.png,Tampering,,0.909464,0.140625
00000011.png,Replay,,0.77916,0.265625
00000011.png,Downgrade,(Resize),0.304114,0.40625
00000011.png,Brightness,(1.5x),0.558642,0.364583
00000011.png,Contrast,(2.0x),0.784335,0.223958
00000011.png,Salt,& Pepper Noise,0.607333,0.265625
00000011.png,Cropping,& Padding,0.637695,0.296875
00000012.png,JPEG,Q=90,0.995092,0.036458
00000012.png,JPEG,Q=70,0.968499,0.109375
00000012.png,JPEG,Q=50,0.910383,0.177083
00000012.png,JPEG,Q=30,0.862935,0.213542
00000012.png,Gaussian,Noise σ=0.03,0.787138,0.244792
00000012.png,Rotation,10°,0.888357,0.161458
00000012.png,Tampering,,0.967396,0.09375
00000012.png,Replay,,0.80673,0.239583
00000012.png,Downgrade,(Resize),0.418917,0.359375
00000012.png,Brightness,(1.5x),0.706574,0.307292
00000012.png,Contrast,(2.0x),0.844402,0.229167
00000012.png,Salt,& Pepper Noise,0.618853,0.296875
00000012.png,Cropping,& Padding,0.636611,0.3125
00000013.png,JPEG,Q=90,0.996812,0.036458
00000013.png,JPEG,Q=70,0.944269,0.109375
00000013.png,JPEG,Q=50,0.874921,0.171875
00000013.png,JPEG,Q=30,0.822327,0.208333
00000013.png,Gaussian,Noise σ=0.03,0.821187,0.197917
00000013.png,Rotation,10°,0.911056,0.15625
00000013.png,Tampering,,0.856552,0.197917
00000013.png,Replay,,0.776805,0.229167
